,cement,slag,ash,water,plasticizer,coarse_aggregate,fine_aggregate,age,CCS
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.88736576
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.26953526
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05277999
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.2960751
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.02984744
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.6982994
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.44776979
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85429086
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986
10,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07424367
11,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02168359
12,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026
13,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164
14,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81378165
15,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.90831981
16,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.35804798
17,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14196225
18,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56325203
19,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62064842
20,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.8367142
21,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.23748958
22,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06342182
23,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.20782217
24,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.51669744
25,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.30063166
26,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15137506
27,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.1243856
28,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.42751518
29,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.60376124
30,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26012245
31,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.90831981
32,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.71950328
33,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13112046
34,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69225402
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.40795006
36,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.07976945
37,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72192144
38,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.22902605
